TAXON_ID,SCIENTIFIC_NAME,COMMON_NAME,AUTHORITY,PRIMARY_DISCIPLINE,ALL_DISCIPLINE_CODES,ORIGIN,TREATIES,SHORT_NAME,TAXON_LEVEL_CDE,PARENT_TAXON_ID,PARENT_TAXON_LEVEL_CDE,TAXON_TYPE,NVIS_GROWTHFORM,FFG_ACT_STATUS,EPBC_ACT_STATUS,VIC_ADVISORY_STATUS,SCIENTIFIC_NME_SYNONYM,COMMON_NME_SYNONYM,RESTRICTED_FLAG,PRINT_ORDER_NUM,LAST_MOD,EXTRACT_DATE
5016,Acanthogobius flavimanus,Yellowfin Goby,"(Temmninck & Schlegel, 1845)",Aquatic fauna,[tf][ma][ai][af],Introduced,,aca flav,spec,5015,gen,Fish,,,,,Gobius flavimanus,"Japanese Goby, Oriental Goby",,,20130916,14/10/2016
4917,Acanthopagrus australis,Yellow-fin Bream,"(Günther, 1859)",Aquatic fauna,[ma][ai][af][tf],,,aca aus,spec,4916,gen,Fish,,,,,"Chrysophrys australis, Chrysophrys australis","Australian Seabream, Bream, Surf Bream, Silver Bream, Sea Bream, Common Bream, Black Bream",,,20120816,14/10/2016
4918,Acanthopagrus butcheri,Black Bream,"(Munro, 1949)",Aquatic fauna,[ai][tf][ma][af],,,aca but,spec,4916,gen,Fish,,,,,Mylio butcheri,"Blue Nose Bream, Yellowfin Bream, Bream, Silver Bream, Southern Black Bream, Southern Bream, Golden Bream",,,20120816,14/10/2016
5018,Afurcagobius tamarensis,Tamar Goby,"(Johnston, 1883)",Aquatic fauna,[af][ai][tf],,,afu tam,spec,5017,gen,Fish,,,,,"Gobius tamarensis, Gobius tasmanicus","Tamar Goby, Tasman Goby",,,20120816,14/10/2016
4736,Alabes dorsalis,Common Shore-eel,"(Richardson, 1845)",Aquatic fauna,[af],,,,spec,4734,gen,Fish,,,,,,,,,20100916,14/10/2016
4737,Alabes hoesei,Dwarf Shore-eel,,Aquatic fauna,[tf][af],,,,spec,4734,gen,Fish,,,,,,,,,20100916,14/10/2016
4735,Alabes parvula,Pygmy Shore-eel,"Hutchins, 2006",Aquatic fauna,[af][tf],,,,spec,4734,gen,Fish,,,,,,,,,20150629,14/10/2016
4960,Aldrichetta forsteri,Yellow-eye Mullet,"(Valenciennes, 1836)",Aquatic fauna,[ma][ai][tf][af],,,ald for,spec,4959,gen,Fish,,,,,"Mugil forsteri, Agonostoma lacustris, Agonostoma tasmanicus, Aldrichetta forsteri neopilchardi, Dajanus diemensis","Yelloweye Mullet, Estuary Mullet, Mullet, Yelloweye, Coorang Mullet, Conmuri, Pilchard, Pilch, Freshwater Mullet",,,20120815,14/10/2016
4941,Amatitlania nigrofasciata,Convict Cichlid,"(Gunther, 1867)",Aquatic fauna,[af],Introduced,,,spec,4940,gen,Fish,,,,,"Heros nigrofasciatus, Cichlasoma nigrofasciatum, Archrocentrus nigrofasciatus, Cryptoheros nigrofasciatus",,,,20141008,14/10/2016
4864,Ambassis agassizii,Agassiz's Glassfish,"Steindachner, 1867",Aquatic fauna,[ai][af][ma][tf],,,amb aga,spec,4863,gen,Fish,,Listed,,Regionally extinct,"Ambassis agassizii, Ambassis muelleri, Pseudoambassis pallidus, Pseudoambassis castelnaui, Pseudoambassis nigripinnis, Priopis olivaceus, Ambassis castelnaui, Priopis nigripinnis","Chanda Perch, Agassiz's Glassfish, Glassy Perchlet, Silver Spray, Pale Perchlet, Agassizs Chanda Perch, Agassiz's Chanda Perch, Agassis' Chanda Perch, Western Chanda Perch, Doody, Inland Chanda Perch, Von Mueller's Perchlet, Olive Perchlet",,,20130404,14/10/2016
4865,Ambassis jacksoniensis,Port Jackson Glassfish,"(Macleay, 1881)",Aquatic fauna,[ai][tf][af][ma],,,amb jac,spec,4863,gen,Fish,,,,,Pseudoambassis jacksoniensis,"Port Jackson Perchlet, Port Jackson Glassfish",,,20120814,14/10/2016
4651,Anguilla australis,Southern Shortfin Eel,"Richardson, 1841",Aquatic fauna,[af][tf][ai][ma],,,ang aus,spec,4650,gen,Fish,,,,,Anguilla australis occidentalis,"Australian Shortfinned Eel, Silver Eel, Southern Shortfin Eel, Freshwater Eel, River Eel, Yellow Eel, Shortfin Eel",,,20160629,14/10/2016
4652,Anguilla reinhardtii,Longfin Eel,"Steindachner, 1867",Aquatic fauna,[tf][ma][ai][af],,,ang rei,spec,4650,gen,Fish,,,,,Anguilla marginipinnis,"Spotted Eel, Longfin Eel, River Eel, Marbled Eel, Conger Eel, Freshwater Eel, Australian Longfinned Eel",,,20120814,14/10/2016
4993,Apopterygion alta,Tasselled Threefin,,Aquatic fauna,[af],,,,spec,4992,gen,Fish,,,,,,,,,20100916,14/10/2016
5020,Arenigobius bifrenatus,Bridled Goby,"(Kner, 1865)",Aquatic fauna,[tf][ai][af][ma],,,are bif,spec,5019,gen,Fish,,,,,"Gobius bifrenatus, Gobius filamentosus, Gobius infaustus, Gobius caudatus, Gobius castelnaui, Gobius bassensis",,,,20120816,14/10/2016
5021,Arenigobius frenatus,Halfbridled Goby,"(Günther, 1861)",Aquatic fauna,[ma][af][ai][tf],,,are fre,spec,5019,gen,Fish,,,,,"Gobius frenatus, Gobius semifrenatus","Half-bridled Goby, Banded Goby, Falsely Bridled Goby",,,20120816,14/10/2016
4925,Argyrosomus japonicus,Mulloway,"(Temminck & Schlegel, 1844)",Aquatic fauna,[ma][af],,,arg jap,spec,4924,gen,Fish,,,,,"Argyrosomus japonicus, Sciaena antarctica, Sciaena japonica, Sciaena neglecta","Kingfish, River Kingfish, Butterfish, Silver Jewfish, Butter-fish, Butter-fish, Jewfish",,,20150729,14/10/2016
4910,Arripis georgianus,Australian Herring,"(Valenciennes, 1831)",Aquatic fauna,[af],,,,spec,4908,gen,Fish,,,,,Centropistes georgianus,"Tommy Rough, Bull Herring, Herring, Rough, Roughy, Ruff, Sea Herring, Tommy, Tommy Ruff, Western Herring",,,20141008,14/10/2016
4911,Arripis trutta,Eastern Australian Salmon,"(Bloch & Schneider, 1801)",Aquatic fauna,[af][ma],,,,spec,4908,gen,Fish,,,,,"Sciaena trutta, Perca marginata, Centropistes salar, Lepidomegus muelleri","Australian Salmon, Bay Trout, Black Back, Blackback, Blackback Salmon, Buck Salmon, Buck, Cocky Salmon, Colonial Salmon, East Australian Salmon, Newfish, Salmon, Salmon Trout",,,20141008,14/10/2016
4909,Arripis truttaceus,Western Australian Salmon,"(Cuvier, 1829)",Aquatic fauna,[af][tf][ma][ai],,,,spec,4908,gen,Fish,,,,,"Centropistes truttaceus, Arripis trutta esper","Australian Salmon, Bay Trout, Black Back, Blackback, Buck Salmon, Cockie Salmon, Cocky Salmon, Colonial Salmon, Jack Salmon, Jacky, Ocean Trout, Poundies, Salmon, Salmon Trout, Southern Australian Salmon, West Australian Salmon, Trout",,,20141008,14/10/2016
100195,Aspasmogaster costata,Pink Clingfish,"(Olgilby, 1885)",Aquatic fauna,[af],,,,spec,4738,gen,Fish,,,,,,,,,20100916,14/10/2016
4739,Aspasmogaster tasmaniensis,Tasmanian Clingfish,"(Günther, 1861)",Aquatic fauna,[af],,,,spec,4738,gen,Fish,,,,,,,,,20100916,14/10/2016
4781,Atherinosoma elongatum,Elongate Hardyhead,"(Klunzinger, 1880)",Aquatic fauna,[ma][tf][af][ai],,,ath elo,spec,903135,gen,Fish,,,,,"Atherina elongata, Atherinosoma rockinghamensis, Atherinason elongata","Swan River Hardyhead, Rockingham Hardyhead, Small-mouth Hardyhead",,,20150629,14/10/2016
4782,Atherinosoma microstoma,Smallmouthed Hardyhead,"(Günther, 1861)",Aquatic fauna,[af][tf][ma][ai],,,ath mic,spec,903135,gen,Fish,,,,,"Atherina microstoma, Atherinosoma vorax, Pranesella endorae, Atherinichthys modesta, Atherinason microstoma","Greyback, Endora's Hardyhead, Smallmouth Hardyhead, Fanged Hardyhead",,,20120815,14/10/2016
5023,Bathygobius krefftii,Krefft's Frillgoby,"(Steindachner, 1866)",Aquatic fauna,[af][ma],,,bat kre,spec,5022,gen,Fish,,,,,"Gobius krefftii, Gobius watkinsoni, Gobius flavidus","Frayfin Goby, Mottled Goby, Krefft's Frillgoby, Frayedfin Goby",,,20120816,14/10/2016
528544,Bidyanus bidyanus,Silver Perch,"(Mitchell, 1838)",Aquatic fauna,[ai][af][tf],,,bid bid,spec,4879,gen,Fish,,Listed,Critically Endangered,Vulnerable,"Bidyanus bidyanus, Acerina (Cernua) Bidyana, Therapon richardsoni, Therapon macleayana","Murray Perch, Bidyan, Black Bream, Silver Bream, Silver Perch, Sooty Grunter, Murray Bream, Grunter, Bidyan Grunter",,,20160524,14/10/2016
4995,Brachynectes fasciatus,Barred Threefin,,Aquatic fauna,[af],,,,spec,4994,gen,Fish,,,,,Brachynectes fasciatus,Weedy Threefin,,,20111207,14/10/2016
4711,Carassius auratus,Goldfish,"(Linnaeus, 1758)",Aquatic fauna,[af][tf][ai],Introduced,,car aur,spec,4710,gen,Fish,,,,,Cyprinus auratus,"Crucian Carp, Carp, Golden Carp, Native Carp, Prussian Carp",,,20120815,14/10/2016
903032,Carassius carassius,Crucian Carp,"(Linnaeus, 1758)",Aquatic fauna,[tf][ai][af],Introduced,,car car,spec,4710,gen,Fish,,,,,Cyprinus carassius,Carp,,,20120815,14/10/2016
102530,Centroberyx affinis,Redfish,"(Gunther, 1859)",Aquatic fauna,[af],,,,spec,4797,gen,Fish,,,,,Centroberyx affinis,Redfish,,,20111206,14/10/2016
4798,Centroberyx gerrardi,Bight Redfish,"(Gunther, 1887)",Aquatic fauna,[af],,,,spec,4797,gen,Fish,,,,,Centroberyx gerrardi,Bright Redfish,,,20111206,14/10/2016
100967,Centroberyx lineatus,Swallowtail,"(Cuvier, 1829)",Aquatic fauna,[af],,,,spec,4797,gen,Fish,,,,,Centroberyx lineatus,Redfish,,,20111206,14/10/2016
4845,Chelidonichthys kumu,Red Gurnard,"(Cuvier, 1829)",Aquatic fauna,[af],,,,spec,4844,gen,Fish,,,,,,,,,20141009,14/10/2016
5133,Chelodina expansa,Broad-shelled Turtle,"Gray, 1857",Aquatic fauna,[af][tf],,,,spec,526521,gen,Reptiles,,Listed,,Endangered,,,,,20141120,14/10/2016
5134,Chelodina longicollis,Eastern Snake-necked Turtle,"(Shaw, 1794)",Aquatic fauna,[tf][af],,,,spec,526521,gen,Reptiles,,,,Data deficient,Chelodina longicollis,Common Long-necked Turtle,,,20130415,14/10/2016
1625,Cherax cainii,Marron,"Austin, 2002",Aquatic fauna,[ai][tf][af],Introduced,,che cai,spec,65083,gen,"Mussels, decopod crustacea",,,,,"Cherax tenuimanus, Cherax cainii, Cherax cainii cainii","Marron, Yabby, Yabby",,,20130916,14/10/2016
1610,Cherax destructor albidus,White Yabby,"Clark, 1936",Aquatic fauna,[af][tf][fl][ai],,,che alb,spec,65083,gen,"Mussels, decopod crustacea",,,,Data deficient,"Cherax albidus, Cherax albidus albidus",Yabbie,,,20131217,14/10/2016
1608,Cherax destructor destructor,Common Yabby,"Clark, 1936",Aquatic fauna,[af][tf][ai][ma],,,che des,spec,65083,gen,"Mussels, decopod crustacea",,,,,"Astacoides bicarinatus, Parachaeraps bicarinatus, Cheraps bicarinatus, Cherax destructor destructor destructor destructor, Cherax destructor","Inland Yabby, Common Yabby, Yabbie, Yabby",,,20130204,14/10/2016
15082,Cherax sp. 1,Broad Claw Yabby,,Aquatic fauna,[af][fl][ai][tf],,,,spec,65083,gen,"Mussels, decopod crustacea",,,,,Cherax sp. 1 sp. 1,"Barmah Swamp Yabby, Swamp Yabby, Murray Swamp Yabby",,,20120817,14/10/2016
903053,Cherax tenuimanus,Margaret River Marron,"(Smith, 1912)",Aquatic fauna,[af][tf],Introduced,,,spec,65083,gen,"Mussels, decopod crustacea",,,,,Cherax tenuimanus tenuimanus,,,,20111207,14/10/2016
4729,Cnidoglanis macrocephalus,Estuary Cobbler,"(Valenciennes, 1840)",Aquatic fauna,[ma][af],,,cni mac,spec,4728,gen,Fish,,,,,"Cnidoglanis macrocephalus macrocephalus, Plotosus macrocephalus, Ostophycephalus duriceps, Plotosus megastomus, Choeroplotosus decemfilis, Neoplotosus waterhousii, Cnidoglanis bostockii","Estuary Cobbler, South Australian Catfish, Estuarine Cat-fish, Cobbler",,,20120816,14/10/2016
5104,Contusus brevicaudus,Prickly Toadfish,"Hardy, 1981",Aquatic fauna,[ai][af][ma],,,,spec,5103,gen,Fish,,,,,,,,,20150629,14/10/2016
5105,Contusus richei,Barred Toadfish,"(Freminville, 1813)",Aquatic fauna,[ma][af][ai],,,,spec,5103,gen,Fish,,,,,,,,,20141009,14/10/2016
4982,Crapatalus munroi,Pink Sandfish,"Last & Edgar, 1987",Aquatic fauna,[ma][af][ai],,,,spec,4981,gen,Fish,,,,,,"Munro's Pygmy Stargazer, Robust Pygmy Stargazer, Stargazing Sandfish",,,20141009,14/10/2016
4784,Craterocephalus fluviatilis,Murray Hardyhead,"McCulloch, 1912",Aquatic fauna,[ai][af][tf],,,cra flu,spec,4783,gen,Fish,,Listed,Endangered,Critically endangered,"Craterocephalus eyresii, Craterocephalus fluviatilis fluviatilis, Craterocephalus fluviatilis","Western Crat, Lake Eyre Hardyhead, Mitchellian Freshwater Hardyhead, Murray Hardyhead, Western Freshwater Hardyhead, Freshwater Hardyhead, Mitchellian Hardyhead",,,20130404,14/10/2016
4786,Craterocephalus stercusmuscarum fulvus,Unspecked Hardyhead,"Ivantsoff, Crowley and Allen, 1987",Aquatic fauna,[ai][tf][af],,,cra ster,spec,4783,gen,Fish,,Listed,,,"Craterocephalus stercusmuscarum subsp. ( fulvus ), Craterocephalus stercusmuscarum fulvus stercusmuscarum fulvus, Craterocephalus stercusmuscarum","Flyspecked Hardyhead, Tawny Hardyhead, Freshwater Hardyhead, Mitchellian Hardyhead",,,20140212,14/10/2016
4741,Creocele cardinalis,Broad Clingfish,"(Ramsay, 1882)",Aquatic fauna,[af],,,,spec,4740,gen,Fish,,,,,,,,,20100916,14/10/2016
4715,Cyprinidae Carassius x Cyprinus HYBRID,Goldfish/Carp Hybrid,,Aquatic fauna,[af][tf][ai],Introduced,,,spec,4709,fam,Fish,,,,,Cyprinidae Carassius x Cyprinus hybrid,"Goldfish, Carp/Goldfish Hybrid",,,20120820,14/10/2016
4713,Cyprinus carpio,European Carp,"Linnaeus, 1758",Aquatic fauna,[af][tf][ma][ai],Introduced,,cyp car,spec,4712,gen,Fish,,,,,,"European Carp, Koi Carp, Great Carp, German Carp, Asian Carp, Chinese Carp",,,20130916,14/10/2016
903133,Cyprinus carpio var. leather,Leather Carp,"Linnaeus, 1758",Aquatic fauna,[ai][af][tf][ma],Introduced,,,spec,4712,gen,Fish,,,,,,,,,20120820,14/10/2016
4714,Cyprinus carpio var. mirror,Mirror Carp,"Linnaeus, 1758",Aquatic fauna,[af][tf][ai][ma],Introduced,,cyp car,spec,4712,gen,Fish,,,,,Cyprinus carpio var. mirror,,,,20120820,14/10/2016
5115,Dicotylichthys punctulatus,Threebar Porcupinefish,"Kaup, 1855",Aquatic fauna,[af],,,,spec,5114,gen,Fish,,,,,"Dicotylichthys punctulatus punctulatus, Atopomycterus diversispinis, Dicotylichthys myersi","Balloonfish, Myer's Porcupinefish, Spotted  Porcupine Fish",,,20141008,14/10/2016
903050,Dipturus cerva,Whitespotted Skate,,Aquatic fauna,[af][ma],,,,spec,4621,gen,Fish,,,,,Dipturus cerva cerva,,,,20111207,14/10/2016
4622,Dipturus lemprieri,Thornback Skate,,Aquatic fauna,[af],,,,spec,4621,gen,Fish,,,,,Dipturus lemprieri lemprieri,,,,20100916,14/10/2016
903426,Elops hawaiensis,Hawaiian Giant Herring,"Regan, 1909",Aquatic fauna,[af][ma],,,,spec,903425,gen,Fish,,,,,Elops australis,"Banana Fish, Chiro, Giant Herring, Ladyfish, Torres Strait Herring, Tenpounder, Hawaiian Ladyfish",,,20141021,14/10/2016
5135,Emydura macquarii,Murray River Turtle,,Aquatic fauna,[af][tf],,,,spec,526861,gen,Reptiles,,,,Vulnerable,Emydura macquarii,Murray Short-necked Turtle,,,20130702,14/10/2016
